raceId,driverRef,team_momentum,driver_momentum,driver_racecraft_index
158,michael_schumacher,0.0,10.5,0.0
158,barrichello,0.0,10.5,0.0
158,ralf_schumacher,0.0,10.5,0.0
158,villeneuve,0.0,10.5,0.0
158,fisichella,0.0,10.5,0.0
158,zonta,0.0,10.5,0.0
158,wurz,0.0,10.5,0.0
158,gene,0.0,10.5,0.0
158,heidfeld,0.0,10.5,0.0
158,salo,0.0,10.5,0.0
158,button,0.0,10.5,0.0
158,diniz,0.0,10.5,0.0
158,mazzacane,0.0,10.5,0.0
158,frentzen,0.0,10.5,0.0
158,trulli,0.0,10.5,0.0
158,alesi,0.0,10.5,0.0
158,hakkinen,0.0,10.5,0.0
158,verstappen,0.0,10.5,0.0
158,coulthard,0.0,10.5,0.0
158,rosa,0.0,10.5,0.0
158,irvine,0.0,10.5,0.0
158,herbert,0.0,10.5,0.0
159,michael_schumacher,16.0,1.0,2.0
159,fisichella,2.0,5.0,4.0
159,frentzen,0.0,14.0,-9.0
159,trulli,0.0,15.0,-9.0
159,ralf_schumacher,4.0,3.0,8.0
159,button,4.0,11.0,10.0
159,verstappen,0.0,18.0,-5.0
159,rosa,0.0,20.0,-8.0
159,zonta,4.0,6.0,10.0
159,mazzacane,0.0,13.0,9.0
159,coulthard,0.0,19.0,-17.0
159,herbert,0.0,22.0,-2.0
159,gene,0.0,8.0,10.0
159,hakkinen,0.0,17.0,-16.0
159,barrichello,16.0,2.0,2.0
159,irvine,0.0,21.0,-14.0
159,villeneuve,4.0,4.0,4.0
159,alesi,0.0,16.0,1.0
159,heidfeld,0.0,9.0,6.0
159,wurz,2.0,7.0,7.0
159,diniz,0.0,12.0,7.0
159,salo,0.0,10.0,0.0
160,michael_schumacher,12.7,1.0,2.0
160,hakkinen,0.0,15.35,-14.35
160,coulthard,0.0,14.600000000000001,-12.6
160,barrichello,12.7,9.15,-5.15
160,villeneuve,1.7999999999999998,11.15,-2.0500000000000003
160,salo,0.0,16.599999999999998,-12.1
160,irvine,0.0,18.25,-11.799999999999999
160,diniz,0.0,16.95,-8.4
160,wurz,4.2,14.15,-0.7000000000000004
160,herbert,0.0,16.5,1.85
160,fisichella,4.2,3.35,3.45
160,zonta,1.7999999999999998,7.6499999999999995,3.95
160,mazzacane,0.0,11.349999999999998,9.55
160,verstappen,0.0,11.95,1.6
160,trulli,3.85,8.950000000000001,0.3500000000000002
160,rosa,0.0,13.4,0.8000000000000003
160,ralf_schumacher,3.45,4.1,6.9
160,alesi,0.0,17.1,-1.2
160,heidfeld,0.0,14.5,2.6999999999999997
160,button,3.45,8.25,6.15
160,gene,0.0,10.750000000000002,7.25
160,frentzen,3.85,7.949999999999999,-1.8499999999999999
161,coulthard,4.019933554817276,9.93687707641196,-7.534883720930233
161,hakkinen,4.019933554817276,9.983388704318937,-8.983388704318937
161,michael_schumacher,12.820598006644518,1.0,1.5980066445182723
161,ralf_schumacher,2.06312292358804,9.285714285714285,-0.6976744186046508
161,button,2.06312292358804,12.9734219269103,2.8737541528239205
161,trulli,2.302325581395349,11.382059800664452,-2.604651162790698
161,fisichella,2.511627906976744,6.425249169435216,5.27906976744186
161,salo,0.4019933554817276,12.338870431893687,-4.823920265780731
161,wurz,2.511627906976744,12.079734219269103,0.38538205980066426
161,alesi,0.0,17.461794019933553,-1.9235880398671095
161,diniz,0.4019933554817276,13.352159468438538,-4.219269102990033
161,herbert,0.0,13.887043189368772,3.9202657807308974
161,irvine,0.0,13.727574750830565,-7.056478405315614
161,gene,0.0,14.870431893687707,4.335548172757475
161,mazzacane,0.0,12.01328903654485,8.524916943521596
161,villeneuve,1.8803986710963452,8.677740863787374,0.3820598006644517
161,frentzen,2.302325581395349,13.598006644518271,-7.538205980066445
161,heidfeld,0.0,16.308970099667775,2.820598006644518
161,zonta,1.8803986710963452,9.398671096345515,3.166112956810631
161,barrichello,12.820598006644518,7.079734219269103,-3.079734219269103
161,rosa,0.0,14.445182724252494,-0.7275747508305647
161,verstappen,0.0,12.774086378737541,1.760797342192691
162,hakkinen,7.966831683168317,7.353217821782178,-5.6943069306930685
162,coulthard,7.966831683168317,6.992574257425742,-4.064108910891089
162,barrichello,9.91460396039604,11.336386138613863,-8.324752475247525
162,ralf_schumacher,3.030693069306931,7.544306930693069,0.5205445544554459
162,michael_schumacher,9.91460396039604,1.6589108910891088,1.7304455445544553
162,frentzen,1.8732673267326734,14.71881188118812,-9.996534653465346
162,salo,0.26955445544554457,10.909405940594059,0.05990099009901044
162,zonta,1.2608910891089107,12.561881188118813,1.1346534653465343
162,fisichella,1.684158415841584,6.61460396039604,5.187128712871287
162,wurz,1.684158415841584,11.06509900990099,3.8824257425742577
162,irvine,0.0,13.487871287128714,-6.0495049504950495
162,trulli,1.8732673267326734,9.60891089108911,-0.09925742574257428
162,herbert,0.0,13.265346534653466,3.287623762376238
162,gene,0.0,14.583663366336632,5.213366336633664
162,mazzacane,0.0,12.99727722772277,8.022524752475249
162,heidfeld,0.0,16.86608910891089,1.5618811881188117
162,button,3.030693069306931,10.346534653465346,2.2564356435643567
162,verstappen,0.0,15.813613861386138,-3.431683168316832
